year,region_type,region_year_spec,region_id,region_level,systems_fund_amount
2014,NUTS,2013,AT,0,105937.5
2014,NUTS,2013,AT1,1,105937.5
2014,NUTS,2013,AT13,2,105937.5
2014,NUTS,2013,AT130,3,105937.5
2014,NUTS,2013,BE,0,1677418.75
2014,NUTS,2013,BE1,1,1539618.75
2014,NUTS,2013,BE10,2,1539618.75
2014,NUTS,2013,BE100,3,1539618.75
2014,NUTS,2013,BE3,1,137800.0
2014,NUTS,2013,BE33,2,137800.0
2014,NUTS,2013,BE332,3,137800.0
2014,NUTS,2013,CZ,0,75375.0
2014,NUTS,2013,CZ0,1,75375.0
2014,NUTS,2013,CZ01,2,75375.0
2014,NUTS,2013,CZ010,3,75375.0
2014,NUTS,2013,DE,0,881571.25
2014,NUTS,2013,DE1,1,454988.75
2014,NUTS,2013,DE11,2,394988.75
2014,NUTS,2013,DE111,3,394988.75
2014,NUTS,2013,DE12,2,60000.0
2014,NUTS,2013,DE125,3,60000.0
2014,NUTS,2013,DE3,1,38500.0
2014,NUTS,2013,DE30,2,38500.0
2014,NUTS,2013,DE300,3,38500.0
2014,NUTS,2013,DE4,1,24500.0
2014,NUTS,2013,DE40,2,24500.0
2014,NUTS,2013,DE404,3,24500.0
2014,NUTS,2013,DE9,1,220020.0
2014,NUTS,2013,DE91,2,176500.0
2014,NUTS,2013,DE911,3,176500.0
2014,NUTS,2013,DE92,2,37639.0
2014,NUTS,2013,DE929,3,37639.0
2014,NUTS,2013,DE94,2,5881.0
2014,NUTS,2013,DE944,3,5881.0
2014,NUTS,2013,DEA,1,98062.5
2014,NUTS,2013,DEA2,2,98062.5
2014,NUTS,2013,DEA23,3,98062.5
2014,NUTS,2013,DED,1,45500.0
2014,NUTS,2013,DED2,2,6720.0
2014,NUTS,2013,DED2E,3,6720.0
2014,NUTS,2013,DED4,2,23100.0
2014,NUTS,2013,DED41,3,23100.0
2014,NUTS,2013,DED5,2,15680.0
2014,NUTS,2013,DED51,3,15680.0
2014,NUTS,2013,DK,0,207904.9
2014,NUTS,2013,DK0,1,207904.9
2014,NUTS,2013,DK01,2,207904.9
2014,NUTS,2013,DK011,3,207904.9
2014,NUTS,2013,EE,0,66437.5
2014,NUTS,2013,EE0,1,66437.5
2014,NUTS,2013,EE00,2,66437.5
2014,NUTS,2013,EE008,3,66437.5
2014,NUTS,2013,ES,0,154236.0
2014,NUTS,2013,ES1,1,29900.0
2014,NUTS,2013,ES12,2,14950.0
2014,NUTS,2013,ES120,3,14950.0
2014,NUTS,2013,ES13,2,14950.0
2014,NUTS,2013,ES130,3,14950.0
2014,NUTS,2013,ES4,1,56841.0
2014,NUTS,2013,ES41,2,41891.0
2014,NUTS,2013,ES412,3,14950.0
2014,NUTS,2013,ES418,3,26941.0
2014,NUTS,2013,ES43,2,14950.0
2014,NUTS,2013,ES431,3,14950.0
2014,NUTS,2013,ES5,1,35745.0
2014,NUTS,2013,ES51,2,35745.0
2014,NUTS,2013,ES511,3,17777.0
2014,NUTS,2013,ES512,3,17968.0
2014,NUTS,2013,ES7,1,31750.0
2014,NUTS,2013,ES70,2,31750.0
2014,NUTS,2013,ES705,3,31750.0
2014,NUTS,2013,FR,0,221486.0
2014,NUTS,2013,FR1,1,65125.0
2014,NUTS,2013,FR10,2,65125.0
2014,NUTS,2013,FR101,3,65125.0
2014,NUTS,2013,FR5,1,102933.0
2014,NUTS,2013,FR51,2,102933.0
2014,NUTS,2013,FR515,3,102933.0
2014,NUTS,2013,FR8,1,53428.0
2014,NUTS,2013,FR81,2,28724.0
2014,NUTS,2013,FR813,3,28724.0
2014,NUTS,2013,FR82,2,24704.0
2014,NUTS,2013,FR824,3,24704.0
2014,NUTS,2013,HR,0,49000.0
2014,NUTS,2013,HR0,1,49000.0
2014,NUTS,2013,HR03,2,14250.0
2014,NUTS,2013,HR035,3,14250.0
2014,NUTS,2013,HR04,2,34750.0
2014,NUTS,2013,HR041,3,11250.0
2014,NUTS,2013,HR042,3,23500.0
2014,NUTS,2013,IE,0,175162.5
2014,NUTS,2013,IE0,1,175162.5
2014,NUTS,2013,IE02,2,175162.5
2014,NUTS,2013,IE021,3,175162.5
2014,NUTS,2013,IT,0,621938.0
2014,NUTS,2013,ITH,1,74032.0
2014,NUTS,2013,ITH1,2,74032.0
2014,NUTS,2013,ITH10,3,74032.0
2014,NUTS,2013,ITI,1,547906.0
2014,NUTS,2013,ITI2,2,129968.0
2014,NUTS,2013,ITI21,3,129968.0
2014,NUTS,2013,ITI4,2,417938.0
2014,NUTS,2013,ITI43,3,417938.0
2014,NUTS,2013,LT,0,50250.0
2014,NUTS,2013,LT0,1,50250.0
2014,NUTS,2013,LT00,2,50250.0
2014,NUTS,2013,LT00A,3,50250.0
2014,NUTS,2013,LU,0,63866.84
2014,NUTS,2013,LU0,1,63866.84
2014,NUTS,2013,LU00,2,63866.84
2014,NUTS,2013,LU000,3,63866.84
2014,NUTS,2013,NL,0,684500.0
2014,NUTS,2013,NL3,1,534450.0
2014,NUTS,2013,NL32,2,305000.0
2014,NUTS,2013,NL326,3,305000.0
2014,NUTS,2013,NL33,2,229450.0
2014,NUTS,2013,NL337,3,46950.0
2014,NUTS,2013,NL339,3,182500.0
2014,NUTS,2013,NL4,1,150050.0
2014,NUTS,2013,NL41,2,150050.0
2014,NUTS,2013,NL412,3,150050.0
2014,NUTS,2013,PL,0,555811.5
2014,NUTS,2013,PL1,1,163750.0
2014,NUTS,2013,PL12,2,163750.0
2014,NUTS,2013,PL127,3,163750.0
2014,NUTS,2013,PL2,1,173536.5
2014,NUTS,2013,PL21,2,173536.5
2014,NUTS,2013,PL213,3,173536.5
2014,NUTS,2013,PL4,1,218525.0
2014,NUTS,2013,PL41,2,78525.0
2014,NUTS,2013,PL415,3,78525.0
2014,NUTS,2013,PL42,2,140000.0
2014,NUTS,2013,PL424,3,140000.0
2014,NUTS,2013,PT,0,187287.5
2014,NUTS,2013,PT1,1,187287.5
2014,NUTS,2013,PT16,2,77225.0
2014,NUTS,2013,PT16D,3,77225.0
2014,NUTS,2013,PT17,2,110062.5
2014,NUTS,2013,PT170,3,110062.5
2014,NUTS,2013,RO,0,101716.0
2014,NUTS,2013,RO1,1,13125.0
2014,NUTS,2013,RO11,2,6875.0
2014,NUTS,2013,RO113,3,6875.0
2014,NUTS,2013,RO12,2,6250.0
2014,NUTS,2013,RO126,3,6250.0
2014,NUTS,2013,RO2,1,32641.0
2014,NUTS,2013,RO21,2,32641.0
2014,NUTS,2013,RO213,3,32641.0
